point,cross_track_error_m,cross_track_error_cm
443,0.013278,1.3278
444,0.013484,1.3484
445,0.013748,1.3748
446,0.014022,1.4022
447,0.014305,1.4305
448,0.014129,1.4129
449,0.014003,1.4003
450,0.013946,1.3946
451,0.013947,1.3947
452,0.013998,1.3998
453,0.014094,1.4094
454,0.014219,1.4219
455,0.014390,1.4390
456,0.014658,1.4658
457,0.014972,1.4972
458,0.015363,1.5363
459,0.015414,1.5414
460,0.015285,1.5285
461,0.015219,1.5219
462,0.015181,1.5181
463,0.015213,1.5213
464,0.015308,1.5308
465,0.015466,1.5466
466,0.015650,1.5650
467,0.015862,1.5862
468,0.016104,1.6104
469,0.016460,1.6460
470,0.016610,1.6610
471,0.016481,1.6481
472,0.016422,1.6422
473,0.016406,1.6406
474,0.016439,1.6439
475,0.016531,1.6531
476,0.016676,1.6676
477,0.016886,1.6886
478,0.017167,1.7167
479,0.017549,1.7549
480,0.017737,1.7737
481,0.017601,1.7601
482,0.017525,1.7525
483,0.017540,1.7540
484,0.017694,1.7694
485,0.017933,1.7933
486,0.018260,1.8260
487,0.018686,1.8686
488,0.018607,1.8607
489,0.018486,1.8486
490,0.018501,1.8501
491,0.018705,1.8705
492,0.019059,1.9059
493,0.019568,1.9568
494,0.019420,1.9420
495,0.019344,1.9344
496,0.019398,1.9398
497,0.019620,1.9620
498,0.020005,2.0005
499,0.020454,2.0454
500,0.020273,2.0273
